Jour,Mois,REGION_Centre-Val de Loire,REGION_Hauts-de-France,Vacances,MIN_TEMPERATURE_C,PRECIP_TOTAL_DAY_MM,Day Length,ENERGIE_SOUTIREE
1,1,True,False,0,8.0,0.0,8.566666666666666,27292711843.0
2,1,True,False,0,9.0,0.0,8.583333333333334,27939460379.0
3,1,True,False,0,10.0,1.0,8.6,28203130585.0
4,1,True,False,0,4.0,5.0,8.616666666666667,29266505462.0
5,1,True,False,0,1.0,2.0,8.633333333333333,33755344473.0
6,1,True,False,0,0.0,0.0,8.65,36360835487.0
7,1,True,False,0,1.0,4.0,8.666666666666666,36525586102.0
8,1,True,False,0,5.0,11.0,8.716666666666667,35160771882.0
9,1,True,False,0,3.0,4.0,8.733333333333333,34620346644.0
10,1,True,False,0,5.0,3.0,8.616666666666667,34674764926.0
11,1,True,False,0,0.0,0.0,8.783333333333333,35986018789.0
12,1,True,False,0,0.0,0.0,8.683333333333334,37842051105.0
13,1,True,False,0,0.0,0.0,8.85,38986068662.0
14,1,True,False,0,0.0,0.0,8.733333333333333,40075758521.0
15,1,True,False,0,0.0,0.0,8.916666666666666,41191685837.0
16,1,True,False,0,0.0,0.0,8.95,40779805102.0
17,1,True,False,0,4.0,0.0,8.85,38316290303.0
18,1,True,False,0,1.0,0.0,8.883333333333333,38113588531.0
19,1,True,False,0,0.0,1.0,8.933333333333334,37926316612.0
20,1,True,False,0,1.0,1.0,9.1,37200854213.0
21,1,True,False,0,0.0,0.0,9.15,38825671687.0
22,1,True,False,0,0.0,0.0,9.166666666666666,39322753149.0
23,1,True,False,0,0.0,0.0,9.216666666666667,38667780749.0
24,1,True,False,0,0.0,0.0,9.25,38961699543.0
25,1,True,False,0,0.0,0.0,9.183333333333334,40169638983.0
26,1,True,False,0,0.0,0.0,9.216666666666667,40659977475.0
27,1,True,False,0,0.0,0.0,9.266666666666667,39885540601.0
28,1,True,False,0,3.0,0.0,9.3,38159441976.0
29,1,True,False,0,2.0,0.0,9.35,36619575964.0
30,1,True,False,0,4.0,0.0,9.4,34603504812.0
31,1,True,False,0,2.0,0.0,9.45,34974020776.0
1,2,True,False,0,1.0,0.0,9.5,35541452888.0
2,2,True,False,0,7.0,0.0,9.533333333333333,32196988485.0
3,2,True,False,0,3.0,0.0,9.716666666666667,32271683310.0
4,2,True,False,0,6.0,0.0,9.65,32177218075.0
5,2,True,False,1,1.0,0.0,9.816666666666666,33039659745.0
6,2,True,False,1,4.0,0.0,9.75,33231182436.0
7,2,True,False,1,3.0,2.0,9.9,31135494700.0
8,2,True,False,1,1.0,0.0,9.966666666666667,31583488607.0
9,2,True,False,1,1.0,0.0,10.0,31440397756.0
10,2,True,False,1,3.0,2.0,10.066666666666666,31084728465.0
11,2,True,False,1,0.0,4.0,10.1,32313143277.0
12,2,True,False,1,0.0,0.0,10.166666666666666,34284536668.0
13,2,True,False,1,0.0,5.0,10.2,32826344442.0
14,2,True,False,1,5.0,6.0,10.266666666666667,30632690034.0
15,2,True,False,1,2.0,0.0,10.333333333333334,31566598211.0
16,2,True,False,1,8.0,17.0,10.366666666666667,29596824142.0
17,2,True,False,1,7.0,1.0,10.433333333333334,26813147304.0
18,2,True,False,1,6.0,2.0,10.383333333333333,27255744204.0
19,2,True,False,1,2.0,0.0,10.583333333333334,29780407900.0
20,2,True,False,1,6.0,0.0,10.583333333333334,29038124797.0
21,2,True,False,1,5.0,2.0,10.7,29635799610.0
22,2,True,False,1,4.0,0.0,10.616666666666667,29001374142.0
23,2,True,False,0,4.0,0.0,10.716666666666667,28071391229.0
24,2,True,False,0,5.0,1.0,10.8,28635462340.0
25,2,True,False,0,0.0,0.0,10.866666666666667,30414668932.0
26,2,True,False,0,0.0,0.0,10.866666666666667,31363315679.0
27,2,True,False,0,-1.0,0.0,11.016666666666667,31307408745.0
28,2,True,False,0,1.0,0.0,10.933333333333334,29895837558.0
1,3,True,False,0,2.0,0.0,11.05,29054664182.0
2,3,True,False,0,6.0,3.0,11.15,28488292574.0
3,3,True,False,0,7.0,1.0,11.166666666666666,27308859749.0
4,3,True,False,0,5.0,0.0,11.266666666666667,27755929688.0
5,3,True,False,0,0.0,0.0,11.266666666666667,29367661358.0
6,3,True,False,0,1.0,0.0,11.366666666666667,30755638068.0
7,3,True,False,0,-1.0,0.0,11.433333333333334,32098529576.0
8,3,True,False,0,0.0,0.0,11.483333333333333,31198375731.0
9,3,True,False,0,4.0,0.0,11.533333333333333,28588020399.0
10,3,True,False,0,5.0,0.0,11.6,26660896603.0
11,3,True,False,0,7.0,10.0,11.65,26663498785.0
12,3,True,False,0,6.0,2.0,11.716666666666667,27315002808.0
13,3,True,False,0,4.0,24.0,11.766666666666667,27842429558.0
14,3,True,False,0,2.0,8.0,11.783333333333333,26922199122.0
15,3,True,False,0,8.0,7.0,11.883333333333333,25125611566.0
16,3,True,False,0,8.0,0.0,11.95,25029227753.0
17,3,True,False,0,8.0,0.0,12.0,25780720552.0
18,3,True,False,0,3.0,0.0,12.05,26459583749.0
19,3,True,False,0,5.0,0.0,12.05,25454977438.0
20,3,True,False,0,7.0,1.0,12.166666666666666,25463923905.0
21,3,True,False,0,6.0,0.0,12.15,23629528407.0
22,3,True,False,0,5.0,0.0,12.25,22798311727.0
23,3,True,False,0,3.0,0.0,12.333333333333334,22955953690.0
24,3,True,False,0,5.0,0.0,12.366666666666667,22478931847.0
25,3,True,False,0,6.0,0.0,12.416666666666666,21743576881.0
26,3,True,False,0,6.0,0.0,12.433333333333334,21301972946.0
27,3,True,False,0,6.0,0.0,12.533333333333333,19703826110.0
28,3,True,False,0,7.0,0.0,12.616666666666667,19941474845.0
29,3,True,False,0,9.0,5.0,12.65,19967201339.0
30,3,True,False,0,6.0,1.0,12.7,21727465327.0
31,3,True,False,0,3.0,2.0,12.766666666666667,24589130281.0
1,4,True,False,0,0.0,13.0,12.816666666666666,30482557888.0
2,4,True,False,0,0.0,4.0,12.866666666666667,32331594786.0
3,4,True,False,0,0.0,0.0,12.933333333333334,32024487191.0
4,4,True,False,0,-2.0,0.0,13.033333333333333,30327537588.0
5,4,True,False,0,5.0,0.0,13.1,27069453816.0
6,4,True,False,0,6.0,0.0,13.15,25573669635.0
7,4,True,False,0,9.0,36.0,13.25,24243369818.0
8,4,True,False,0,4.0,35.0,13.2,24722087968.0
9,4,True,False,1,1.0,4.0,13.216666666666667,25777968602.0
10,4,True,False,1,0.0,0.0,13.35,25006157115.0
11,4,True,False,1,3.0,0.0,13.416666666666666,22338127205.0
12,4,True,False,1,8.0,0.0,13.516666666666667,20125656619.0
13,4,True,False,1,10.0,6.0,13.533333333333333,19561885293.0
14,4,True,False,1,9.0,0.0,13.633333333333333,18233818105.0
15,4,True,False,1,10.0,0.0,13.6,17252649840.0
16,4,True,False,1,9.0,0.0,13.633333333333333,16786111360.0
17,4,True,False,1,4.0,0.0,13.7,16544698090.0
18,4,True,False,1,6.0,0.0,13.75,16803892108.0
19,4,True,False,1,6.0,0.0,13.8,17603904588.0
20,4,True,False,1,7.0,8.0,13.866666666666667,18212795681.0
21,4,True,False,1,5.0,0.0,13.916666666666666,17922243876.0
22,4,True,False,1,6.0,0.0,13.983333333333333,17424074996.0
23,4,True,False,1,10.0,18.0,14.033333333333333,18024321460.0
24,4,True,False,1,8.0,8.0,14.066666666666666,18369837684.0
25,4,True,False,1,8.0,6.0,14.25,18122180562.0
26,4,True,False,1,4.0,0.0,14.183333333333334,17852221866.0
27,4,True,False,0,4.0,0.0,14.366666666666667,17516523907.0
28,4,True,False,0,7.0,0.0,14.283333333333333,16910626341.0
29,4,True,False,0,7.0,0.0,14.333333333333334,16616308452.0
30,4,True,False,0,6.0,0.0,14.516666666666667,16816533710.0
1,5,True,False,0,6.0,0.0,14.433333333333334,16877159446.0
2,5,True,False,0,7.0,0.0,14.616666666666667,16436774099.0
3,5,True,False,0,8.0,0.0,14.55,16075666043.0
4,5,True,False,0,10.0,0.0,14.716666666666667,16216545889.0
5,5,True,False,0,8.0,0.0,14.766666666666667,16115241566.0
6,5,True,False,0,7.0,0.0,14.816666666666666,15983410169.0
7,5,True,False,0,9.0,4.0,14.866666666666667,15624941456.0
8,5,True,False,0,9.0,0.0,14.9,15328363264.0
9,5,True,False,0,9.0,0.0,14.966666666666667,14841753992.0
10,5,True,False,0,13.0,0.0,15.0,14421507707.0
11,5,True,False,0,11.0,0.0,14.916666666666666,14481108665.0
12,5,True,False,0,9.0,0.0,15.1,14350570840.0
13,5,True,False,0,9.0,0.0,15.133333333333333,14420026313.0
14,5,True,False,0,10.0,0.0,15.05,14502337046.0
15,5,True,False,0,13.0,16.0,15.233333333333333,14229145109.0
16,5,True,False,0,13.0,4.0,15.266666666666667,14060481903.0
17,5,True,False,0,13.0,0.0,15.166666666666666,14041187007.0
18,5,True,False,0,14.0,0.0,15.216666666666667,14288712229.0
19,5,True,False,0,16.0,6.0,15.266666666666667,14108410031.0
20,5,True,False,0,15.0,4.0,15.433333333333334,14227787429.0
21,5,True,False,0,11.0,0.0,15.333333333333334,14206925802.0
22,5,True,False,0,13.0,4.0,15.366666666666667,14162858299.0
23,5,True,False,0,13.0,12.0,15.4,14098725524.0
24,5,True,False,0,8.0,2.0,15.433333333333334,14112217202.0
25,5,True,False,0,7.0,0.0,15.466666666666667,14339958438.0
26,5,True,False,1,11.0,0.0,15.5,14106359013.0
27,5,True,False,1,10.0,0.0,15.533333333333333,14132592559.0
28,5,True,False,1,7.0,0.0,15.566666666666666,14105604940.0
29,5,True,False,1,5.0,0.0,15.6,14238223799.0
30,5,True,False,1,5.0,0.0,15.633333333333333,14405326986.0
31,5,True,False,1,9.0,0.0,15.65,14279762548.0
1,6,True,False,0,9.0,0.0,15.683333333333334,14355021912.0
2,6,True,False,0,11.0,3.0,15.816666666666666,14116249177.0
3,6,True,False,0,13.0,16.0,15.733333333333333,14124432223.0
4,6,True,False,0,14.0,32.0,15.766666666666667,14075987127.0
5,6,True,False,0,13.0,18.0,15.783333333333333,13818776891.0
6,6,True,False,0,10.0,0.0,15.8,14025774907.0
7,6,True,False,0,12.0,6.0,15.816666666666666,13978635885.0
8,6,True,False,0,12.0,15.0,15.85,14129301722.0
9,6,True,False,0,10.0,1.0,15.866666666666667,13945900791.0
10,6,True,False,0,11.0,0.0,15.866666666666667,14015540858.0
11,6,True,False,0,14.0,0.0,15.883333333333333,14044571659.0
12,6,True,False,0,13.0,0.0,15.9,13972213078.0
13,6,True,False,0,9.0,0.0,15.916666666666666,14096554917.0
14,6,True,False,0,11.0,0.0,15.916666666666666,14170011555.0
15,6,True,False,0,14.0,0.0,15.933333333333334,14493250832.0
16,6,True,False,0,16.0,0.0,15.933333333333334,14580460642.0
17,6,True,False,0,17.0,0.0,15.95,14990934863.0
18,6,True,False,0,21.0,0.0,16.05,15106139673.0
19,6,True,False,0,20.0,0.0,15.95,14697303683.0
20,6,True,False,0,16.0,12.0,15.966666666666667,14415862733.0
21,6,True,False,0,15.0,12.0,15.966666666666667,14196930642.0
22,6,True,False,0,16.0,12.0,15.95,14221273211.0
23,6,True,False,0,16.0,8.0,16.05,14045233742.0
24,6,True,False,0,13.0,5.0,15.95,13972782648.0
25,6,True,False,0,13.0,9.0,15.933333333333334,13975684624.0
26,6,True,False,0,10.0,2.0,15.933333333333334,13992799106.0
