DATE,REGION,CODE,NB_POINTS_SOUTIRAGE,ENERGIE_SOUTIREE
2022-01-01,Auvergne-Rhône-Alpes,84,231089068,82964457822.0
2022-01-01,Bourgogne-Franche-Comté,27,82167622,28371458719.0
2022-01-01,Bretagne,53,103421842,36401568588.0
2022-01-01,Centre-Val de Loire,24,68742328,27292711843.0
2022-01-01,Grand-Est,44,145625744,48502878522.0
2022-01-01,Hauts-de-France,32,142469414,47447262745.0
2022-01-01,Normandie,28,95062104,35208257156.0
2022-01-01,Nouvelle Aquitaine,75,173774416,63048949548.0
2022-01-01,Occitanie,76,188419568,65933648678.0
2022-01-01,Pays de la Loire,52,109222582,40720986435.0
2022-01-01,Provence-Alpes-Côte d'Azur,93,167964332,59226640275.0
2022-01-01,Île-de-France,11,312677774,91469408226.0
2022-01-02,Auvergne-Rhône-Alpes,84,231079266,85004351794.0
2022-01-02,Bourgogne-Franche-Comté,27,82158848,29051770176.0
2022-01-02,Bretagne,53,103414500,37227738788.0
2022-01-02,Centre-Val de Loire,24,68737232,27939460379.0
2022-01-02,Grand-Est,44,145615230,50285387341.0
2022-01-02,Hauts-de-France,32,142459082,48625646836.0
2022-01-02,Normandie,28,95057793,36055094506.0
2022-01-02,Nouvelle Aquitaine,75,173766210,64605981479.0
2022-01-02,Occitanie,76,188415440,67615564978.0
2022-01-02,Pays de la Loire,52,109215334,41670186835.0
2022-01-02,Provence-Alpes-Côte d'Azur,93,167957652,60632929781.0
2022-01-02,Île-de-France,11,312653094,93999686515.0
2022-01-03,Auvergne-Rhône-Alpes,84,231118924,86333825769.0
2022-01-03,Bourgogne-Franche-Comté,27,82174106,29458147660.0
2022-01-03,Bretagne,53,103431090,37752916721.0
2022-01-03,Centre-Val de Loire,24,68750372,28203130585.0
2022-01-03,Grand-Est,44,145635906,50340407693.0
2022-01-03,Hauts-de-France,32,142480816,49221598001.0
2022-01-03,Normandie,28,95071926,36553241538.0
2022-01-03,Nouvelle Aquitaine,75,173796792,65412171109.0
2022-01-03,Occitanie,76,188456352,68422719854.0
2022-01-03,Pays de la Loire,52,109238272,42234113502.0
2022-01-03,Provence-Alpes-Côte d'Azur,93,167983960,61289801501.0
2022-01-03,Île-de-France,11,312712438,96067735637.0
2022-01-04,Auvergne-Rhône-Alpes,84,231133583,89279800405.0
2022-01-04,Bourgogne-Franche-Comté,27,82178230,30516459690.0
2022-01-04,Bretagne,53,103438548,39196536882.0
2022-01-04,Centre-Val de Loire,24,68755474,29266505462.0
2022-01-04,Grand-Est,44,145638720,52048294431.0
2022-01-04,Hauts-de-France,32,142484865,50994142374.0
2022-01-04,Normandie,28,95076870,37948248801.0
2022-01-04,Nouvelle Aquitaine,75,173804700,67923754238.0
2022-01-04,Occitanie,76,188466956,70912645186.0
2022-01-04,Pays de la Loire,52,109245666,43850166597.0
2022-01-04,Provence-Alpes-Côte d'Azur,93,167986684,63455583204.0
2022-01-04,Île-de-France,11,312726358,99707321227.0
2022-01-05,Auvergne-Rhône-Alpes,84,231150596,101859756789.0
2022-01-05,Bourgogne-Franche-Comté,27,82183320,34860315314.0
2022-01-05,Bretagne,53,103447669,44949589816.0
2022-01-05,Centre-Val de Loire,24,68759686,33755344473.0
2022-01-05,Grand-Est,44,145643326,59340001683.0
2022-01-05,Hauts-de-France,32,142493630,58155308012.0
2022-01-05,Normandie,28,95085092,43625365022.0
2022-01-05,Nouvelle Aquitaine,75,173820848,78192435658.0
2022-01-05,Occitanie,76,188482714,81361264711.0
2022-01-05,Pays de la Loire,52,109254277,50433368709.0
2022-01-05,Provence-Alpes-Côte d'Azur,93,168003150,72473425762.0
2022-01-05,Île-de-France,11,312755414,112799533131.0
2022-01-06,Auvergne-Rhône-Alpes,84,231162324,109160921527.0
2022-01-06,Bourgogne-Franche-Comté,27,82187482,37376209856.0
2022-01-06,Bretagne,53,103456730,48194204070.0
2022-01-06,Centre-Val de Loire,24,68761726,36360835487.0
2022-01-06,Grand-Est,44,145648078,62953072482.0
2022-01-06,Hauts-de-France,32,142501266,62199134556.0
2022-01-06,Normandie,28,95092731,46880740484.0
2022-01-06,Nouvelle Aquitaine,75,173829084,84229726082.0
2022-01-06,Occitanie,76,188491582,87508902701.0
2022-01-06,Pays de la Loire,52,109263810,54210505504.0
2022-01-06,Provence-Alpes-Côte d'Azur,93,168012282,77745336832.0
2022-01-06,Île-de-France,11,312776932,120307241349.0
2022-01-07,Auvergne-Rhône-Alpes,84,231192896,109843812531.0
2022-01-07,Bourgogne-Franche-Comté,27,82194314,37596401046.0
2022-01-07,Bretagne,53,103467218,48319045761.0
2022-01-07,Centre-Val de Loire,24,68770502,36525586102.0
2022-01-07,Grand-Est,44,145657034,64402266355.0
2022-01-07,Hauts-de-France,32,142516102,62516704144.0
2022-01-07,Normandie,28,95104452,47041794257.0
2022-01-07,Nouvelle Aquitaine,75,173848020,84844725059.0
2022-01-07,Occitanie,76,188512414,88158848380.0
2022-01-07,Pays de la Loire,52,109276418,54374577675.0
2022-01-07,Provence-Alpes-Côte d'Azur,93,168028592,78122324851.0
2022-01-07,Île-de-France,11,312819288,120967551558.0
2022-01-08,Auvergne-Rhône-Alpes,84,231189978,105421570801.0
2022-01-08,Bourgogne-Franche-Comté,27,82193632,36129521032.0
2022-01-08,Bretagne,53,103465592,46359889034.0
2022-01-08,Centre-Val de Loire,24,68769136,35160771882.0
2022-01-08,Grand-Est,44,145660795,62292406381.0
2022-01-08,Hauts-de-France,32,142516419,60328945286.0
2022-01-08,Normandie,28,95104042,45185217679.0
2022-01-08,Nouvelle Aquitaine,75,173844208,81552814244.0
2022-01-08,Occitanie,76,188509936,84805526171.0
2022-01-08,Pays de la Loire,52,109276298,52295724152.0
2022-01-08,Provence-Alpes-Côte d'Azur,93,168025904,75050840064.0
2022-01-08,Île-de-France,11,312825253,116513947789.0
2022-01-09,Auvergne-Rhône-Alpes,84,231183610,103369086200.0
2022-01-09,Bourgogne-Franche-Comté,27,82190056,35451467642.0
2022-01-09,Bretagne,53,103463376,45403043916.0
2022-01-09,Centre-Val de Loire,24,68767700,34620346644.0
2022-01-09,Grand-Est,44,145657620,60916265502.0
2022-01-09,Hauts-de-France,32,142513948,59292485023.0
2022-01-09,Normandie,28,95100426,44346947347.0
2022-01-09,Nouvelle Aquitaine,75,173838994,80252666673.0
2022-01-09,Occitanie,76,188506182,83441451020.0
2022-01-09,Pays de la Loire,52,109272006,51391697540.0
2022-01-09,Provence-Alpes-Côte d'Azur,93,168024385,73520173837.0
2022-01-09,Île-de-France,11,312823626,114395907172.0
2022-01-10,Auvergne-Rhône-Alpes,84,231217417,104007252265.0
2022-01-10,Bourgogne-Franche-Comté,27,82201534,35671367431.0
2022-01-10,Bretagne,53,103479740,45459054466.0
2022-01-10,Centre-Val de Loire,24,68775930,34674764926.0
2022-01-10,Grand-Est,44,145670750,61523581981.0
2022-01-10,Hauts-de-France,32,142534414,59448131137.0
2022-01-10,Normandie,28,95112458,44478242315.0
2022-01-10,Nouvelle Aquitaine,75,173864349,80677812923.0
2022-01-10,Occitanie,76,188538924,83676522331.0
2022-01-10,Pays de la Loire,52,109285500,51534851002.0
2022-01-10,Provence-Alpes-Côte d'Azur,93,168049711,73522655412.0
2022-01-10,Île-de-France,11,312871730,115880637715.0
2022-01-11,Auvergne-Rhône-Alpes,84,231228515,107877459807.0
2022-01-11,Bourgogne-Franche-Comté,27,82204942,36982476194.0
2022-01-11,Bretagne,53,103482136,47048688756.0
2022-01-11,Centre-Val de Loire,24,68776018,35986018789.0
2022-01-11,Grand-Est,44,145674714,63603323674.0
2022-01-11,Hauts-de-France,32,142538059,61447089353.0
2022-01-11,Normandie,28,95112266,46072136193.0
2022-01-11,Nouvelle Aquitaine,75,173869152,83791270981.0
2022-01-11,Occitanie,76,188552898,86778766860.0
2022-01-11,Pays de la Loire,52,109287128,53412820138.0
2022-01-11,Provence-Alpes-Côte d'Azur,93,168055610,76198566769.0
2022-01-11,Île-de-France,11,312903702,119942979120.0
2022-01-12,Auvergne-Rhône-Alpes,84,231241343,112768471959.0
2022-01-12,Bourgogne-Franche-Comté,27,82208349,38723442199.0
2022-01-12,Bretagne,53,103488586,49467370768.0
2022-01-12,Centre-Val de Loire,24,68780280,37842051105.0
2022-01-12,Grand-Est,44,145682020,66192556220.0
2022-01-12,Hauts-de-France,32,142547184,64242436169.0
2022-01-12,Normandie,28,95118642,48388779674.0
2022-01-12,Nouvelle Aquitaine,75,173880844,88284081249.0
2022-01-12,Occitanie,76,188563696,91411651841.0
2022-01-12,Pays de la Loire,52,109292170,56337355992.0
2022-01-12,Provence-Alpes-Côte d'Azur,93,168066414,79882015690.0
2022-01-12,Île-de-France,11,312929138,125984429715.0
2022-01-13,Auvergne-Rhône-Alpes,84,231263601,115943362024.0
2022-01-13,Bourgogne-Franche-Comté,27,82210994,39822523575.0
2022-01-13,Bretagne,53,103493815,50912018826.0
2022-01-13,Centre-Val de Loire,24,68783394,38986068662.0
2022-01-13,Grand-Est,44,145688166,68021124022.0
2022-01-13,Hauts-de-France,32,142556662,65907196366.0
2022-01-13,Normandie,28,95124025,49780840599.0
2022-01-13,Nouvelle Aquitaine,75,173895756,91194956722.0
2022-01-13,Occitanie,76,188576044,94227924904.0
2022-01-13,Pays de la Loire,52,109301712,57997766645.0
2022-01-13,Provence-Alpes-Côte d'Azur,93,168073459,82042881596.0
2022-01-13,Île-de-France,11,312963530,129029037199.0
2022-01-14,Auvergne-Rhône-Alpes,84,231292885,118866855334.0
2022-01-14,Bourgogne-Franche-Comté,27,82219798,40855762802.0
2022-01-14,Bretagne,53,103506070,52404839301.0
2022-01-14,Centre-Val de Loire,24,68790452,40075758521.0
2022-01-14,Grand-Est,44,145700218,69756276723.0
2022-01-14,Hauts-de-France,32,142571442,67523916571.0
2022-01-14,Normandie,28,95135582,51134556889.0
2022-01-14,Nouvelle Aquitaine,75,173918076,93756862939.0
2022-01-14,Occitanie,76,188596432,96746543292.0
2022-01-14,Pays de la Loire,52,109311642,59713789198.0
2022-01-14,Provence-Alpes-Côte d'Azur,93,168092754,84053510200.0
2022-01-14,Île-de-France,11,313016212,131970578754.0
2022-01-15,Auvergne-Rhône-Alpes,84,231287507,121513169498.0
2022-01-15,Bourgogne-Franche-Comté,27,82217892,41749011529.0
2022-01-15,Bretagne,53,103504105,53478984897.0
2022-01-15,Centre-Val de Loire,24,68789662,41191685837.0
2022-01-15,Grand-Est,44,145694576,71604250214.0
2022-01-15,Hauts-de-France,32,142569248,69156271928.0
2022-01-15,Normandie,28,95132330,52315297547.0
2022-01-15,Nouvelle Aquitaine,75,173915738,96189886562.0
2022-01-15,Occitanie,76,188593090,98943862851.0
2022-01-15,Pays de la Loire,52,109310178,61148559867.0
2022-01-15,Provence-Alpes-Côte d'Azur,93,168092152,85720737092.0
2022-01-15,Île-de-France,11,313018722,133796430290.0
2022-01-16,Auvergne-Rhône-Alpes,84,231272063,119836898222.0
2022-01-16,Bourgogne-Franche-Comté,27,82213610,41257651274.0
2022-01-16,Bretagne,53,103497003,52747382013.0
2022-01-16,Centre-Val de Loire,24,68785532,40779805102.0
2022-01-16,Grand-Est,44,145687052,70562574192.0
2022-01-16,Hauts-de-France,32,142560872,68377563183.0
2022-01-16,Normandie,28,95125772,51682540399.0
2022-01-16,Nouvelle Aquitaine,75,173906462,95395848670.0
2022-01-16,Occitanie,76,188583937,98017532129.0
2022-01-16,Pays de la Loire,52,109304694,60386214653.0
2022-01-16,Provence-Alpes-Côte d'Azur,93,168082164,84736506269.0
2022-01-16,Île-de-France,11,312999135,132143620273.0
2022-01-17,Auvergne-Rhône-Alpes,84,231306360,113629359246.0
2022-01-17,Bourgogne-Franche-Comté,27,82223142,39104465655.0
2022-01-17,Bretagne,53,103509911,50018371299.0
2022-01-17,Centre-Val de Loire,24,68792130,38316290303.0
2022-01-17,Grand-Est,44,145700290,66567111671.0
2022-01-17,Hauts-de-France,32,142579338,64545598838.0
2022-01-17,Normandie,28,95137366,48835194176.0
2022-01-17,Nouvelle Aquitaine,75,173931402,90077018279.0
2022-01-17,Occitanie,76,188609828,92730131615.0
2022-01-17,Pays de la Loire,52,109321684,57132451196.0
2022-01-17,Provence-Alpes-Côte d'Azur,93,168105364,80027045883.0
2022-01-17,Île-de-France,11,313042584,126900414231.0
2022-01-18,Auvergne-Rhône-Alpes,84,231308843,113229400582.0
2022-01-18,Bourgogne-Franche-Comté,27,82225894,38941838518.0
2022-01-18,Bretagne,53,103513183,49897245071.0
2022-01-18,Centre-Val de Loire,24,68792700,38113588531.0
2022-01-18,Grand-Est,44,145702552,65382133126.0
2022-01-18,Hauts-de-France,32,142583942,64213066353.0
2022-01-18,Normandie,28,95139410,48636554482.0
2022-01-18,Nouvelle Aquitaine,75,173938522,89747963614.0
2022-01-18,Occitanie,76,188620922,92335834939.0
2022-01-18,Pays de la Loire,52,109328688,56944268301.0
2022-01-18,Provence-Alpes-Côte d'Azur,93,168112851,79551559005.0
2022-01-18,Île-de-France,11,313047780,126534395332.0
2022-01-19,Auvergne-Rhône-Alpes,84,231327731,112631504512.0
2022-01-19,Bourgogne-Franche-Comté,27,82235486,38749955249.0
2022-01-19,Bretagne,53,103522076,49640924819.0
2022-01-19,Centre-Val de Loire,24,68795530,37926316612.0
2022-01-19,Grand-Est,44,145711576,65888969086.0
2022-01-19,Hauts-de-France,32,142592858,63892848967.0
2022-01-19,Normandie,28,95148708,48358218358.0
2022-01-19,Nouvelle Aquitaine,75,173952750,89391026562.0
2022-01-19,Occitanie,76,188637628,91913768145.0
2022-01-19,Pays de la Loire,52,109335834,56654333193.0
2022-01-19,Provence-Alpes-Côte d'Azur,93,168131220,79073239141.0
2022-01-19,Île-de-France,11,313077474,126069843798.0
2022-01-20,Auvergne-Rhône-Alpes,84,231350408,110771952883.0
