DATE,REGION,CODE,NB_POINTS_SOUTIRAGE,ENERGIE_SOUTIREE,Date,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,OPINION,SUNSET,SUNRISE,Vacances
2022-01-01,Centre-Val de Loire,24,68742328,27292711843.0,2022-01-01,13.0,8.0,12.0,0.0,84.0,10.0,1026.0,44.0,13.0,8.0,6.0,météo correcte,17:10:00,08:36:00,0
2022-01-02,Centre-Val de Loire,24,68737232,27939460379.0,2022-01-02,14.0,9.0,24.0,0.0,81.0,10.0,1025.0,66.0,14.0,10.666666666666666,8.0,météo correcte,17:11:00,08:36:00,0
2022-01-03,Centre-Val de Loire,24,68750372,28203130585.0,2022-01-03,12.0,10.0,22.0,1.0,91.0,9.0,1023.0,86.0,12.0,10.166666666666666,8.0,météo défavorable,17:12:00,08:36:00,0
2022-01-04,Centre-Val de Loire,24,68755474,29266505462.0,2022-01-04,14.0,4.0,41.0,5.0,77.0,9.0,1015.0,78.0,14.0,9.5,9.0,météo défavorable,17:13:00,08:36:00,0
2022-01-05,Centre-Val de Loire,24,68759686,33755344473.0,2022-01-05,7.0,1.0,22.0,2.0,82.0,9.0,1023.0,48.0,7.0,5.166666666666667,-2.0,météo très défavorable,17:14:00,08:36:00,0
2022-01-06,Centre-Val de Loire,24,68761726,36360835487.0,2022-01-06,5.0,0.0,8.0,0.0,88.0,10.0,1025.0,54.0,5.0,0.0,-1.0,météo très défavorable,17:15:00,08:36:00,0
2022-01-07,Centre-Val de Loire,24,68770502,36525586102.0,2022-01-07,7.0,1.0,23.0,4.0,95.0,8.0,1025.0,84.0,7.0,4.0,0.0,météo très défavorable,17:16:00,08:36:00,0
2022-01-08,Centre-Val de Loire,24,68769136,35160771882.0,2022-01-08,9.0,5.0,35.0,11.0,95.0,8.0,1020.0,93.0,9.0,7.5,2.0,météo défavorable,17:18:00,08:35:00,0
2022-01-09,Centre-Val de Loire,24,68767700,34620346644.0,2022-01-09,7.0,3.0,22.0,4.0,88.0,9.0,1017.0,80.0,7.0,5.0,0.0,météo très défavorable,17:19:00,08:35:00,0
2022-01-10,Centre-Val de Loire,24,68775930,34674764926.0,2022-01-10,8.0,5.0,10.0,3.0,94.0,9.0,1024.0,91.0,8.0,5.5,3.0,météo très défavorable,17:20:00,08:43:00,0
2022-01-11,Centre-Val de Loire,24,68776018,35986018789.0,2022-01-11,6.0,0.0,11.0,0.0,88.0,10.0,1035.0,22.0,6.0,0.6666666666666666,-3.0,météo très défavorable,17:21:00,08:34:00,0
2022-01-12,Centre-Val de Loire,24,68780280,37842051105.0,2022-01-12,6.0,0.0,15.0,0.0,88.0,10.0,1038.0,24.0,6.0,1.1666666666666667,-3.0,météo très défavorable,17:23:00,08:42:00,0
2022-01-13,Centre-Val de Loire,24,68783394,38986068662.0,2022-01-13,8.0,0.0,16.0,0.0,91.0,9.0,1038.0,6.0,8.0,1.6666666666666667,-4.0,météo très défavorable,17:24:00,08:33:00,0
2022-01-14,Centre-Val de Loire,24,68790452,40075758521.0,2022-01-14,8.0,0.0,9.0,0.0,79.0,10.0,1037.0,0.0,8.0,0.5,-3.0,météo très défavorable,17:25:00,08:41:00,0
2022-01-15,Centre-Val de Loire,24,68789662,41191685837.0,2022-01-15,6.0,0.0,8.0,0.0,77.0,10.0,1031.0,38.0,6.0,0.3333333333333333,-1.0,météo très défavorable,17:27:00,08:32:00,0
2022-01-16,Centre-Val de Loire,24,68785532,40779805102.0,2022-01-16,6.0,0.0,8.0,0.0,89.0,9.0,1034.0,18.0,6.0,1.5,-3.0,météo très défavorable,17:28:00,08:31:00,0
2022-01-17,Centre-Val de Loire,24,68792130,38316290303.0,2022-01-17,9.0,4.0,7.0,0.0,95.0,7.0,1038.0,66.0,9.0,5.833333333333333,3.0,météo très défavorable,17:30:00,08:39:00,0
2022-01-18,Centre-Val de Loire,24,68792700,38113588531.0,2022-01-18,9.0,1.0,19.0,0.0,94.0,8.0,1037.0,16.0,9.0,4.833333333333333,-2.0,météo très défavorable,17:31:00,08:38:00,0
2022-01-19,Centre-Val de Loire,24,68795530,37926316612.0,2022-01-19,6.0,0.0,16.0,1.0,95.0,6.0,1032.0,48.0,6.0,3.1666666666666665,-2.0,météo très défavorable,17:33:00,08:37:00,0
2022-01-20,Centre-Val de Loire,24,68802580,37200854213.0,2022-01-20,6.0,1.0,19.0,1.0,94.0,8.0,1035.0,50.0,6.0,5.5,-1.0,météo très défavorable,17:34:00,08:28:00,0
2022-01-21,Centre-Val de Loire,24,68807000,38825671687.0,2022-01-21,5.0,0.0,20.0,0.0,93.0,9.0,1037.0,52.0,5.0,0.1666666666666666,-5.0,météo très défavorable,17:36:00,08:27:00,0
2022-01-22,Centre-Val de Loire,24,68804906,39322753149.0,2022-01-22,8.0,0.0,11.0,0.0,89.0,9.0,1038.0,7.0,8.0,2.6666666666666665,-3.0,météo très défavorable,17:37:00,08:27:00,0
2022-01-23,Centre-Val de Loire,24,68803588,38667780749.0,2022-01-23,6.0,0.0,17.0,0.0,97.0,6.0,1035.0,41.0,6.0,1.5,-3.0,météo très défavorable,17:39:00,08:26:00,0
2022-01-24,Centre-Val de Loire,24,68810380,38961699543.0,2022-01-24,10.0,0.0,11.0,0.0,93.0,9.0,1034.0,4.0,10.0,3.5,-3.0,météo très défavorable,17:40:00,08:25:00,0
2022-01-25,Centre-Val de Loire,24,68812264,40169638983.0,2022-01-25,10.0,0.0,9.0,0.0,90.0,10.0,1036.0,0.0,10.0,3.333333333333333,-2.0,météo très défavorable,17:42:00,08:31:00,0
2022-01-26,Centre-Val de Loire,24,68815448,40659977475.0,2022-01-26,8.0,0.0,6.0,0.0,88.0,10.0,1035.0,6.0,8.0,3.1666666666666665,-1.0,météo très défavorable,17:43:00,08:30:00,0
2022-01-27,Centre-Val de Loire,24,68817156,39885540601.0,2022-01-27,10.0,0.0,10.0,0.0,86.0,10.0,1034.0,15.0,10.0,4.333333333333333,-1.0,météo très défavorable,17:45:00,08:29:00,0
2022-01-28,Centre-Val de Loire,24,68826788,38159441976.0,2022-01-28,10.0,3.0,9.0,0.0,95.0,7.0,1037.0,50.0,10.0,5.666666666666667,2.0,météo très défavorable,17:46:00,08:28:00,0
2022-01-29,Centre-Val de Loire,24,68825954,36619575964.0,2022-01-29,11.0,2.0,12.0,0.0,92.0,9.0,1037.0,43.0,11.0,7.5,0.0,météo très défavorable,17:48:00,08:27:00,0
2022-01-30,Centre-Val de Loire,24,68821920,34603504812.0,2022-01-30,9.0,4.0,13.0,0.0,93.0,8.0,1034.0,72.0,9.0,7.0,3.0,météo défavorable,17:50:00,08:26:00,0
2022-01-31,Centre-Val de Loire,24,68829042,34974020776.0,2022-01-31,8.0,2.0,28.0,0.0,89.0,9.0,1028.0,55.0,8.0,4.333333333333333,1.0,météo très défavorable,17:51:00,08:24:00,0
2022-02-01,Centre-Val de Loire,24,68815010,35541452888.0,2022-02-01,9.0,1.0,22.0,0.0,95.0,8.0,1030.0,82.0,9.0,8.5,-1.0,météo très défavorable,17:53:00,08:23:00,0
2022-02-02,Centre-Val de Loire,24,68812970,32196988485.0,2022-02-02,10.0,7.0,18.0,0.0,92.0,10.0,1028.0,88.0,10.0,7.833333333333333,5.0,météo défavorable,17:54:00,08:22:00,0
2022-02-03,Centre-Val de Loire,24,68816110,32271683310.0,2022-02-03,10.0,3.0,12.0,0.0,94.0,9.0,1026.0,41.0,10.0,5.333333333333333,1.0,météo très défavorable,17:56:00,08:13:00,0
2022-02-04,Centre-Val de Loire,24,68823756,32177218075.0,2022-02-04,11.0,6.0,20.0,0.0,90.0,9.0,1025.0,81.0,11.0,6.833333333333333,4.0,météo défavorable,17:58:00,08:19:00,0
2022-02-05,Centre-Val de Loire,24,68822830,33039659745.0,2022-02-05,9.0,1.0,13.0,0.0,92.0,10.0,1031.0,36.0,9.0,2.6666666666666665,-1.0,météo très défavorable,17:59:00,08:10:00,1
2022-02-06,Centre-Val de Loire,24,68820882,33231182436.0,2022-02-06,11.0,4.0,36.0,0.0,88.0,10.0,1028.0,89.0,11.0,7.666666666666667,0.0,météo défavorable,18:01:00,08:16:00,1
